wavelength_m,flux_arb
1.00E-07,55257086493
1.01E-07,66497162838
1.03E-07,79526715784
1.04E-07,94544591401
1.06E-07,1.1176E+11
1.07E-07,1.31392E+11
1.09E-07,1.53667E+11
1.10E-07,1.78822E+11
1.12E-07,2.07099E+11
1.13E-07,2.38747E+11
1.15E-07,2.74018E+11
1.16E-07,3.13168E+11
1.17E-07,3.56458E+11
1.19E-07,4.04146E+11
1.20E-07,4.56492E+11
1.22E-07,5.13756E+11
1.23E-07,5.76191E+11
1.25E-07,6.4405E+11
1.26E-07,7.17579E+11
1.28E-07,7.97017E+11
1.29E-07,8.82597E+11
1.30E-07,9.74543E+11
1.32E-07,1.07307E+12
1.33E-07,1.17838E+12
1.35E-07,1.29066E+12
1.36E-07,1.4101E+12
1.38E-07,1.53685E+12
1.39E-07,1.67108E+12
1.41E-07,1.81293E+12
1.42E-07,1.96251E+12
1.44E-07,2.11994E+12
1.45E-07,2.2853E+12
1.46E-07,2.45868E+12
1.48E-07,2.64015E+12
1.49E-07,2.82973E+12
1.51E-07,3.02747E+12
1.52E-07,3.23338E+12
1.54E-07,3.44746E+12
1.55E-07,3.66969E+12
1.57E-07,3.90003E+12
1.58E-07,4.13845E+12
1.59E-07,4.38487E+12
1.61E-07,4.63923E+12
1.62E-07,4.90142E+12
1.64E-07,5.17135E+12
1.65E-07,5.4489E+12
1.67E-07,5.73394E+12
1.68E-07,6.02633E+12
1.70E-07,6.32591E+12
1.71E-07,6.63253E+12
1.73E-07,6.94601E+12
1.74E-07,7.26616E+12
1.75E-07,7.59279E+12
1.77E-07,7.92571E+12
1.78E-07,8.2647E+12
1.80E-07,8.60955E+12
1.81E-07,8.96004E+12
1.83E-07,9.31595E+12
1.84E-07,9.67703E+12
1.86E-07,1.00431E+13
1.87E-07,1.04138E+13
1.88E-07,1.0789E+13
1.90E-07,1.11684E+13
1.91E-07,1.15517E+13
1.93E-07,1.19388E+13
1.94E-07,1.23293E+13
1.96E-07,1.27231E+13
1.97E-07,1.31198E+13
1.99E-07,1.35192E+13
2.00E-07,1.3921E+13
2.02E-07,1.4325E+13
2.03E-07,1.4731E+13
2.04E-07,1.51387E+13
2.06E-07,1.55478E+13
2.07E-07,1.59581E+13
2.09E-07,1.63694E+13
2.10E-07,1.67814E+13
2.12E-07,1.7194E+13
2.13E-07,1.76068E+13
2.15E-07,1.80196E+13
2.16E-07,1.84322E+13
2.18E-07,1.88445E+13
2.19E-07,1.92561E+13
2.20E-07,1.96669E+13
2.22E-07,2.00766E+13
2.23E-07,2.04852E+13
2.25E-07,2.08923E+13
2.26E-07,2.12978E+13
2.28E-07,2.17015E+13
2.29E-07,2.21032E+13
2.31E-07,2.25028E+13
2.32E-07,2.29E+13
2.33E-07,2.32948E+13
2.35E-07,2.36869E+13
2.36E-07,2.40763E+13
2.38E-07,2.44627E+13
2.39E-07,2.48461E+13
2.41E-07,2.52262E+13
2.42E-07,2.5603E+13
2.44E-07,2.59763E+13
2.45E-07,2.63461E+13
2.47E-07,2.67121E+13
2.48E-07,2.70744E+13
2.49E-07,2.74328E+13
2.51E-07,2.77871E+13
2.52E-07,2.81374E+13
2.54E-07,2.84834E+13
2.55E-07,2.88253E+13
2.57E-07,2.91627E+13
2.58E-07,2.94958E+13
2.60E-07,2.98243E+13
2.61E-07,3.01484E+13
2.62E-07,3.04678E+13
